id,t,patientAMKA,doctorAMKA,diagnosis
1,2017-01-01 00:13:05,4017954515276,6304745877947815701,
2,2017-01-01 00:17:02,3584100898092156,36756544512499,
3,2017-01-01 00:20:24,3547374203778454,372301064587696,S52282F
4,2017-01-01 00:21:52,5100171506104063,4986101036974,Y36040
5,2017-01-01 00:25:34,5602259710207310,374283551924806,M3504
6,2017-01-01 00:39:37,3579867798465156,374622986283793,
9,2017-01-01 00:43:36,5545069135243133,372301064587696,
11,2017-01-01 01:10:29,4917350859351523,372301064587696,L230
12,2017-01-01 01:12:50,3540972056950505,3565872852409203,T81516S
13,2017-01-01 01:17:18,3580351532708780,4844890553480605,W9411XS
14,2017-01-01 01:17:27,3580351532708780,5100177349948590,S56493
16,2017-01-01 01:27:17,3585313417632167,30400751029246,M7501
17,2017-01-01 01:35:52,5048372336810904,63048034991073397,H159
19,2017-01-01 01:39:15,5251907933250038,374622986283793,W1841
21,2017-01-01 02:32:00,5610556347791495,3537844417030308,
22,2017-01-01 02:33:31,5100131674044004,3538166810727911,M3504
